key,label,n,cells,t_mean,t_std,t_min,path_len,path_ratio,dead_ends,de_ratio,n_junc,junc_ratio,avg_branch,straightness
DC,Divide and Conquer,5,25,0.04172000190010294,0.01787360042376552,0.02600000152597204,9,0.36,8,0.32,6,0.24,3.0,0.625
DC,Divide and Conquer,10,100,0.1069399993866682,0.010282335303353051,0.09239999781129882,23,0.23,25,0.25,21,0.21,3.0952380952380953,0.5
DC,Divide and Conquer,15,225,0.20168000046396628,0.03241070492403673,0.15329999587265775,45,0.2,57,0.25333333333333335,48,0.21333333333333335,3.1458333333333335,0.5454545454545454
DC,Divide and Conquer,20,400,0.3738999992492609,0.023867799256543396,0.3510000024107285,57,0.1425,95,0.2375,89,0.2225,3.044943820224719,0.4642857142857143
DC,Divide and Conquer,30,900,0.7925400001113303,0.28547664480198925,0.5550999994738959,151,0.16777777777777778,246,0.2733333333333333,219,0.24333333333333335,3.1141552511415527,0.43333333333333335
DC,Divide and Conquer,40,1600,0.9199599997373298,0.06991808355398921,0.8406999986618757,153,0.095625,463,0.289375,407,0.254375,3.1326781326781328,0.4144736842105263
DC,Divide and Conquer,50,2500,1.6320799986715429,0.15723804315358783,1.3676999951712787,217,0.0868,684,0.2736,620,0.248,3.1,0.4120370370370371
DC,Divide and Conquer,60,3600,2.215199997590389,0.18258997656956932,2.006000002438668,223,0.06194444444444445,966,0.2683333333333333,877,0.2436111111111111,3.0992018244013684,0.45495495495495497
DC,Divide and Conquer,75,5625,3.201419999822974,0.2839885525856184,2.8300000049057417,417,0.07413333333333333,1522,0.27057777777777775,1376,0.2446222222222222,3.104651162790698,0.39182692307692313
DC,Divide and Conquer,100,10000,6.003060001239646,0.6090503187212695,5.341999996744562,659,0.0659,2674,0.2674,2428,0.2428,3.100494233937397,0.39209726443769
BT,Backtracking,5,25,0.08277999877464026,0.01224342846719922,0.06650000432273373,17,0.68,3,0.12,1,0.04,3.0,0.5
BT,Backtracking,10,100,0.2952600014396012,0.07219904596318284,0.21380000544013456,47,0.47,10,0.1,7,0.07,3.142857142857143,0.3913043478260869
BT,Backtracking,15,225,0.5733600002713501,0.11345029693201128,0.4408000022522174,79,0.3511111111111111,22,0.09777777777777778,20,0.08888888888888889,3.0,0.39743589743589747
BT,Backtracking,20,400,0.8810999963316135,0.10278155475779088,0.7540999940829352,131,0.3275,40,0.1,38,0.095,3.0,0.32307692307692304
BT,Backtracking,30,900,1.93994000001112,0.22350209398716622,1.6720999992685392,199,0.22111111111111112,91,0.10111111111111111,87,0.09666666666666666,3.0229885057471266,0.38383838383838387
BT,Backtracking,40,1600,3.141019999748096,0.20395491973339308,2.937099998234771,583,0.364375,166,0.10375,162,0.10125,3.0123456790123457,0.35910652920962194
BT,Backtracking,50,2500,5.835340000339784,0.6294518158668434,5.055699999502394,973,0.3892,255,0.102,248,0.0992,3.0201612903225805,0.33333333333333337
BT,Backtracking,60,3600,8.019120000244584,0.558742536659822,7.228700000268873,937,0.2602777777777778,346,0.0961111111111111,337,0.09361111111111112,3.020771513353116,0.3557692307692307
BT,Backtracking,75,5625,11.981099998229183,0.5685288005093261,11.364999998477288,1613,0.28675555555555554,577,0.10257777777777778,558,0.0992,3.0304659498207887,0.34615384615384615
BT,Backtracking,100,10000,24.46897999907378,1.7222269675368627,22.052399996027816,2401,0.2401,1010,0.101,987,0.0987,3.021276595744681,0.3504166666666667
PR,Algoritma Prim,5,25,0.1459799997974187,0.049969889659761936,0.1021999996737577,9,0.36,9,0.36,6,0.24,3.1666666666666665,0.625
PR,Algoritma Prim,10,100,0.40342000138480216,0.08032791203464801,0.33429999893996865,19,0.19,32,0.32,25,0.25,3.2,0.7777777777777778
PR,Algoritma Prim,15,225,0.8832800027448684,0.48297973294375923,0.49669999862089753,29,0.1288888888888889,73,0.3244444444444444,56,0.24888888888888888,3.267857142857143,0.5714285714285714
PR,Algoritma Prim,20,400,1.1383000019122846,0.15356764089924055,0.99229999614181,41,0.1025,123,0.3075,101,0.2525,3.198019801980198,0.5
PR,Algoritma Prim,30,900,2.620420001039747,0.6070191616264808,2.064200001768768,63,0.07,278,0.3088888888888889,232,0.2577777777777778,3.189655172413793,0.467741935483871
PR,Algoritma Prim,40,1600,3.9553999988129362,0.37010390161069256,3.5359999965294264,95,0.059375,503,0.314375,425,0.265625,3.1788235294117646,0.42553191489361697
PR,Algoritma Prim,50,2500,6.291720001900103,0.1811286330788833,6.062200001906604,103,0.0412,785,0.314,659,0.2636,3.188163884673748,0.5
PR,Algoritma Prim,60,3600,8.534380000492092,0.3454670782576433,8.106000001134817,125,0.034722222222222224,1145,0.31805555555555554,960,0.26666666666666666,3.190625,0.4516129032258065
PR,Algoritma Prim,75,5625,16.41419999941718,2.067608891841107,13.706099998671561,167,0.02968888888888889,1778,0.31608888888888886,1511,0.2686222222222222,3.175380542686962,0.463855421686747
PR,Algoritma Prim,100,10000,28.37001999869244,3.4448695244519256,24.09099999931641,207,0.0207,3219,0.3219,2733,0.2733,3.177094767654592,0.470873786407767
